City,State
Lynchburg,Virginia
Cincinnati,Ohio
Kansas City,Kansas
Dayton,Ohio
Auburn,Washington
Louisville/Jefferson County metro government,Kentucky
Pittsburgh,Pennsylvania
Austin,Texas
Camarillo,California
Upland,California
High Point,North Carolina
New Bedford,Massachusetts
Columbus,Ohio
Shawnee,Kansas
Newport Beach,California
Sugar Land,Texas
Newton,Massachusetts
Livonia,Michigan
Appleton,Wisconsin
Lehigh Acres,Florida
Lakeland,Florida
North Charleston,South Carolina
Chattanooga,Tennessee
West Valley City,Utah
Johnson City,Tennessee
San Jose,California
Tucson,Arizona
Orem,Utah
Arlington Heights,Illinois
Cedar Rapids,Iowa
Brentwood,New York
Concord,California
Spring Hill,Florida
Carrollton,Texas
Sunrise Manor,Nevada
Lafayette,Indiana
Allen,Pennsylvania
Minneapolis,Minnesota
The Villages,Florida
Merced,California
Turlock,California
West Palm Beach,Florida
Trenton,New Jersey
Chandler,Arizona
Beaverton,Oregon
Yorba Linda,California
Laredo,Texas
Ogden,Utah
East Los Angeles,California
Bridgeport,Connecticut
Flower Mound,Texas
Charleston,South Carolina
Palo Alto,California
Denton,Texas
Rock Hill,South Carolina
Chino,California
Mesquite,Texas
Gastonia,North Carolina
Victorville,California
Arden-Arcade,California
Lafayette,Louisiana
Suffolk,Virginia
Las Cruces,New Mexico
Lorain,Ohio
San Angelo,Texas
Richardson,Texas
Garland,Texas
South Bend,Indiana
Allen,Texas
Corona,California
Glen Burnie,Maryland
Sunnyvale,California
Redwood City,California
Lawrence,Massachusetts
Alhambra,California
Carson,California
Cedar Park,Texas
Youngs,Ohio
Macon,Georgia
Kenner,Louisiana
Saint Charles,Missouri
Danbury,Connecticut
Everett,Washington
Fremont,California
Alexandria,Virginia
Springdale,Arkansas
Redlands,California
Albany,New York
Lynn,Massachusetts
El Cajon,California
Rialto,California
Detroit,Michigan
Vallejo,California
Fayetteville,North Carolina
Long Beach,California
Gaithersburg,Maryland
Mayagüez,Puerto Rico
Hoover,Alabama
Bloomington,Illinois
San Bernardino,California
Sandy,Utah
Guaynabo,Puerto Rico
Las Vegas,Nevada
Orlando,Florida
Pembroke Pines,Florida
Livermore,California
Tulsa,Oklahoma
Hartford,Connecticut
Newport News,Virginia
Union City,California
Sioux Falls,South Dakota
Irvine,California
Modesto,California
Nashua,New Hampshire
Lancaster,California
Greenville,North Carolina
Rochester Hills,Michigan
Frederick,Maryland
Flint,Michigan
Eugene,Oregon
Saint Joseph,Missouri
Frisco,Texas
Portland,Oregon
Evansville,Indiana
Ontario,California
Toms River,New Jersey
Mount Vernon,New York
Saint Paul,Minnesota
Wilmington,North Carolina
Spring Valley,Nevada
Akron,Ohio
New York,New York
Bolingbrook,Illinois
Corpus Christi,Texas
Augusta-Richmond County consolidated government,Georgia
Columbia,Maryland
Tuscaloosa,Alabama
Rochester,Minnesota
Casas Adobes,Arizona
Tempe,Arizona
New Haven,Connecticut
Marysville,Washington
Little Rock,Arkansas
Elk Grove,California
Coral Springs,Florida
Bayamón,Puerto Rico
Centreville,Virginia
Carolina,Puerto Rico
Santa Ana,California
Billings,Montana
Fullerton,California
Waterloo,Iowa
New Rochelle,New York
Albuquerque,New Mexico
Alameda,California
Fort Lauderdale,Florida
Framingham,Massachusetts
Pittsburg,California
Dearborn,Michigan
Elgin,Illinois
Moreno Valley,California
Kirkland,Washington
Jurupa Valley,California
North Las Vegas,Nevada
Syracuse,New York
Longmont,Colorado
Cary,North Carolina
Waco,Texas
Grand Prairie,Texas
Pueblo,Colorado
Edmond,Oklahoma
Yuba City,California
Lakewood,Colorado
Saint George,Utah
Saint Cloud,Minnesota
Cranston,Rhode Island
Reno,Nevada
Missoula,Montana
Somerville,Massachusetts
Gainesville,Florida
Warwick,Rhode Island
Berkeley,California
Bethlehem,Pennsylvania
Metairie,Louisiana
Spokane,Washington
Milpitas,California
Santa Fe,New Mexico
Raleigh,North Carolina
Poinciana,Florida
Wichita,Kansas
Highlands Ranch,Colorado
Mountain View,California
Hesperia,California
Albany,Georgia
Fort Wayne,Indiana
Woodbury,Minnesota
Hialeah,Florida
Yuma,Arizona
Durham,North Carolina
Downey,California
South Gate,California
Peoria,Illinois
Saint Petersburg,Florida
Birmingham,Alabama
Redding,California
Ames,Iowa
Santa Rosa,California
Bloomington,Indiana
McAllen,Texas
Murfreesboro,Tennessee
Bossier City,Louisiana
Fayetteville,Arkansas
Lake Charles,Louisiana
Eagan,Minnesota
Palm Bay,Florida
Loveland,Colorado
Dallas,Texas
Apple Valley,California
